seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_chars,spoken_words,written_words,has_letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
16.9,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.261313171,0.271448447,0.901960784,166.2989195,0.046947849,117.4538352,488034.2
17,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.268738185,0.272872782,0.848366013,168.6565852,0.049188519,117.4538352,484827.81
17.1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.24434619,0.259483266,0.992156863,162.8727575,0.0500628,117.4538352,580707.5
17.2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.259144968,0.263374646,0.926797386,167.237223,0.050377031,117.4538352,648898.4367
17.3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.252868985,0.258618827,0.856862745,166.470373,0.048948135,117.4538352,705545.35
17.4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.230115875,0.24879702,0.97254902,162.4845754,0.051614617,117.4538352,416021.14
17.5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.241204195,0.239035655,0.921568627,169.541991,0.053612049,134.1446434,360329.6067
17.6,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.250909529,0.239786603,0.943137255,170.5227688,0.045231302,135.9991776,316338.79
17.7,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.251848375,0.246868409,0.925490196,170.7393297,0.051852991,135.9991776,289041.74
17.8,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.246288231,0.241472319,1,169.1675756,0.057288533,135.9991776,275979.385
17.9,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.244493137,0.238796779,0.880392157,165.7160038,0.059752572,135.9991776,279707.54
18,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.248600652,0.249202996,0.920261438,166.6111313,0.059600891,142.0435855,353115.49
18.1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.253014358,0.254858459,0.905882353,167.1382833,0.058917154,143.5546875,341415.835
